"COMPETENCY","COURSE","MEASURE","Assignment Sent"
"Natural Sciences","BIOL 108","01) A selected response exam (T/F, multiple-choice, etc.)",NA
"Culture","PHOT 101","10) A student portfolio",NA
"Collaboration","CRIM 385","08) A student project",NA
"Problem Solving","CRIM 385","08) A student project",NA
"Collaboration","HVAC 451","11) A capstone project",NA
"Communication - Written","HVAC 451","08) A student project",NA
"Problem Solving","HVAC 451","08) A student project",NA
"Problem Solving","DMOL 491","09) A laboratory report",NA
"Diversity - Global","HSMG 226","12) An oral presentation",NA
"Natural Sciences","GEOG 121","09) A laboratory report",NA
"Natural Sciences","GEOG 111","09) A laboratory report",NA
"Problem Solving","MATH 220","02) A constructed response exam (short answer, essay, etc.)",NA
"Quantitative Literacy","MATH 114","05) A short written report (1 to 2 pages in length)",NA
"Quantitative Literacy","MATH 220","02) A constructed response exam (short answer, essay, etc.)",NA
"Natural Sciences","BIOL 101","01) A selected response exam (T/F, multiple-choice, etc.)",NA
"Quantitative Literacy","MATH 220","02) A constructed response exam (short answer, essay, etc.)",NA
"Communication - Written","ENGL 325","08) A student project",NA
"Collaboration","HSMG 312","12) An oral presentation",NA
"Culture","THTR 222","13) A student performance",NA
"Culture","THTR 215","03) A pre- and post-test",NA
"Collaboration","ISYS 431","08) A student project",NA
"Problem Solving","ISYS 431","08) A student project",NA
"Collaboration","ISYS 489","11) A capstone project",NA
"Problem Solving","ISYS 489","11) A capstone project",NA
"Collaboration","ISYS 321","08) A student project",NA
"Problem Solving","ISYS 321","08) A student project",NA
"Culture","HIST 121","08) A student project",NA
"Culture","HIST 211","08) A student project",NA
"Culture","HIST 350","07) A long written report (10 or more pages in length)",NA
"Diversity - Global","HIST 350","07) A long written report (10 or more pages in length)",NA
"Communication - Oral","COMM 121","12) An oral presentation",NA
"Communication - Oral","COMM 121","12) An oral presentation",NA
"Communication - Oral","COMM 251","12) An oral presentation",NA
"Quantitative Literacy","MATH 110","02) A constructed response exam (short answer, essay, etc.)",NA
"Communication - Written","MATH 324","10) A student portfolio",NA
"Diversity - Global","HUMN 240","03) A pre- and post-test",NA
"Diversity - Global","RELG 215","03) A pre- and post-test",NA
"Natural Sciences","CHEM 121","02) A constructed response exam (short answer, essay, etc.)",NA
"Natural Sciences","BIOL 122","03) A pre- and post-test",NA
"Problem Solving","BIOL 375","02) A constructed response exam (short answer, essay, etc.)",NA
"Natural Sciences","GEOL 121","01) A selected response exam (T/F, multiple-choice, etc.)",NA
"Natural Sciences","GEOL 131","01) A selected response exam (T/F, multiple-choice, etc.)",NA
"Self and Society","PSYC 150","01) A selected response exam (T/F, multiple-choice, etc.)",NA
"Problem Solving","PSYC 280","11) A capstone project",NA
"Self and Society","ECON 221","01) A selected response exam (T/F, multiple-choice, etc.)",NA
"Self and Society","ECON 222","01) A selected response exam (T/F, multiple-choice, etc.)",NA
"Communication - Written","ENGL 250","06) A medium written report (3 to 9 pages in length)",NA
"Communication - Written","ENGL 321","06) A medium written report (3 to 9 pages in length)",NA
"Culture","FREN 101","02) A constructed response exam (short answer, essay, etc.)",NA
"Diversity - Global","FREN 101","02) A constructed response exam (short answer, essay, etc.)",NA
"Diversity - Understanding Race, Ethnicity, and Gender","PSYC 226","01) A selected response exam (T/F, multiple-choice, etc.)",NA
"Self and Society","PSYC 226","01) A selected response exam (T/F, multiple-choice, etc.)",NA
"Diversity - Global","PSYC 341","01) A selected response exam (T/F, multiple-choice, etc.)",NA
"Self and Society","PSYC 341","01) A selected response exam (T/F, multiple-choice, etc.)",NA
"Natural Sciences","CHEM 121","01) A selected response exam (T/F, multiple-choice, etc.)",NA
"Communication - Oral","COMM 105","06) A medium written report (3 to 9 pages in length)",NA
"Communication - Oral","COMM 105","05) A short written report (1 to 2 pages in length)",NA
